record_id,author,title_original,title_normalized,cluster,duplicate_of,corpus_scope,date_start,date_end,date_label,date_precision,dating_status,dating_method,source_type,manual_source_1,manual_source_2,evidence_quote_or_summary,review_status,research_note,confidence,verification_status,lookup_status,lookup_note,match_score,source_dataset,source_basis,source_url,evidence_note,audit_note,search_query,timeline_year,timeline_status,timeline_basis,timeline_anchor_start,timeline_anchor_end,timeline_center_year,timeline_offset,timeline_confidence,timeline_note
P014,王维,杂曲歌辞 少年行四首 一,杂曲歌辞 少年行四首,隐逸怀古类,,唐,,,,未知,undated,unknown,诗人年谱,张清华《王维年谱》,https://books.google.com/books/about/%E7%8E%8B%E7%BB%B4%E5%B9%B4%E8%B0%B1.html?id=6ZXUAAAAMAAJ,可访问资料仅支持其为王维早期作品的宽泛判断，不能落实到具体年份。,needs_review,待核对陈铁民《王维年谱》与张清华《王维年谱》原页；组诗四首需整体判断。,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E7%8E%8B%E7%BB%B4%E3%80%8A%E5%B0%91%E5%B9%B4%E8%A1%8C%E5%9B%9B%E9%A6%96%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,729.666667,inferred_activity_cluster,activity_period,714,761,737.5,-7.833333,中,未定年作品按作者活动期中点对称展开。
P015,王维,杂曲歌辞 少年行四首 三,杂曲歌辞 少年行四首,市井任侠类,,唐,,,,未知,undated,unknown,诗人年谱,张清华《王维年谱》,https://books.google.com/books/about/%E7%8E%8B%E7%BB%B4%E5%B9%B4%E8%B0%B1.html?id=6ZXUAAAAMAAJ,可访问资料仅支持其为王维早期作品的宽泛判断，不能落实到具体年份。,needs_review,与P014同属《少年行四首》，暂不把宽泛的早期标签转换为年份。,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E7%8E%8B%E7%BB%B4%E3%80%8A%E5%B0%91%E5%B9%B4%E8%A1%8C%E5%9B%9B%E9%A6%96%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,734.888889,inferred_activity_cluster,activity_period,714,761,737.5,-2.611111,中,未定年作品按作者活动期中点对称展开。
P016,王昌龄,杂曲歌辞 少年行二首 一,杂曲歌辞 少年行二首,侠义抒怀类,,唐,718,718,718年,单年系年,exact,poet_chronology,诗歌编年数据库,https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=22,,诗词检索数据库在王昌龄编年目录中将《少年行二首》其一列于718年。,manual_single_source,公开数据库给出单年，尚待核对其底本或编年文献说明。,低,人工复核且有系年,ambiguous_match,候选作品最高匹配分数为 0.000。,,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,718,observed_exact,date_exact,718,718,718,0,低,采用作品级单年系年。
P017,高适,杂曲歌辞 邯郸少年行,杂曲歌辞 邯郸少年行,隐逸怀古类,,唐,,,,未知,undated,unknown,诗人年谱,孙钦善《高适年谱》,https://ccj.pku.edu.cn/Article/info?aid=271016354,高适年谱研究本身提示不少行迹只能粗略编排；当前未找到《邯郸少年行》的直接系年。,needs_review,与P057为重复作品；待查年谱正文和高适集系年。,低,未匹配,ambiguous_match,候选作品最高匹配分数为 0.000。,,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,733.666667,inferred_activity_cluster,activity_period,719,763,741,-7.333333,中,未定年作品按作者活动期中点对称展开。
P018,崔颢,杂曲歌辞 游侠篇,杂曲歌辞 游侠篇,侠义抒怀类,,唐,,,,未知,undated,unknown,开放知识图谱,,,,auto_only,,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E5%B4%94%E9%A2%A2%E3%80%8A%E6%B8%B8%E4%BE%A0%E7%AF%87%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,729,inferred_lifespan_cluster,lifespan,704,754,729,0,低,未定年作品按作者生卒年中点对称展开。
P019,孟郊,杂曲歌辞 游侠行,杂曲歌辞 游侠行,侠义抒怀类,,唐,,,,未知,undated,unknown,开放知识图谱,,,,auto_only,,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E5%AD%9F%E9%83%8A%E3%80%8A%E6%B8%B8%E4%BE%A0%E8%A1%8C%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,796.5,inferred_activity_cluster,activity_period,779,814,796.5,0,中,未定年作品按作者活动期中点对称展开。
P020,李白,杂曲歌辞 侠客行,杂曲歌辞 侠客行,市井任侠类,,唐,731,731,731年,单年系年,exact,chronological_edition,开放知识图谱,,,,auto_only,,中,已匹配且有系年,matched,,0.707,唐宋文学编年地图（古籍文献知识图谱网）,安旗主编《李白全集编年笺注》第142页,https://open.cnkgraph.com/Writing/26045,class='label1' id='eda421eb72d54a20843f4f88af62ac68_label'> — 731年 ，31岁 731年 在长安，有诗。作品：《侠客行》 出处：安旗主编《李白全集编年笺注》第142页 <div,,李白《杂曲歌辞 侠客行》,731,observed_exact,date_exact,731,731,731,0,中,采用作品级单年系年。
P021,元稹,杂曲歌辞 侠客行,杂曲歌辞 侠客行,边塞报国类,,唐,,,,未知,undated,unknown,开放知识图谱,,,,auto_only,,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E5%85%83%E7%A8%B9%E3%80%8A%E4%BE%A0%E5%AE%A2%E8%A1%8C%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,812.5,inferred_activity_cluster,activity_period,794,831,812.5,0,中,未定年作品按作者活动期中点对称展开。
P022,万楚,杂曲歌辞 茱萸女,杂曲歌辞 茱萸女,豪侠交游类,,唐,,,,未知,undated,unknown,开放知识图谱,,,,auto_only,,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E4%B8%87%E6%A5%9A%E3%80%8A%E8%8C%B1%E8%90%B8%E5%A5%B3%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,,unavailable,,,,,,,
P023,虞世南,从军行二首 二,从军行二首,豪侠交游类,P006,唐,,,,未知,undated,unknown,开放知识图谱,,,,auto_only,,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E8%99%9E%E4%B8%96%E5%8D%97%E3%80%8A%E4%BB%8E%E5%86%9B%E8%A1%8C%E4%BA%8C%E9%A6%96%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,608,duplicate_inherited,P006,578,638,608,0,中,继承主记录 P006 的展示坐标。
P024,陈子良,游侠篇,游侠篇,隐逸怀古类,,唐,,,,未知,undated,unknown,开放知识图谱,,,,auto_only,,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E9%99%88%E5%AD%90%E8%89%AF%E3%80%8A%E6%B8%B8%E4%BE%A0%E7%AF%87%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,,unavailable,,,,,,,
P025,卢照邻,长安古意,长安古意,豪侠交游类,,唐,652,653,652年冬—653年春,跨年范围,range,poet_chronology,诗人年谱,张志烈《初唐四杰年谱》（巴蜀书社，1993）第55—56页,祝尚书《卢照邻集笺注》增订本（上海古籍出版社，2011）卷二第85页,卢照邻652年在长安参选；材料将本诗系于当年冬或次年春。,manual_cross_checked,两个整理来源共同支持跨年范围。,低,人工复核且有系年,matched,,0.653,唐宋文学编年地图（古籍文献知识图谱网）,"张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.55-56",https://open.cnkgraph.com/Writing/11578,"class='label1' id='52598e2b89084622a5dd95008f421e60_label'> — 652年 ，19岁 652年 在长安参选.本年冬或明年春,作《长安古意》诗。 （祝尚书《卢照邻集笺注》增订本上海古籍出版社2011年年版卷2第85页。） 出处：张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.55-56 <div",,卢照邻《长安古意》,652.5,observed_range_center,date_range_center,652,653,652.5,0,低,采用作品级系年范围的算术中点。
P026,杨炯,骢马,骢马,隐逸怀古类,,唐,,,,未知,undated,unknown,初唐四杰年谱,张志烈《初唐四杰年谱》（巴蜀书社，1993）,https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=89,公开目录未给出《骢马》的具体作年。,needs_review,题名短且可能与同题作品混淆，需核对杨炯集编年及正文首句。,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E6%9D%A8%E7%82%AF%E3%80%8A%E9%AA%A2%E9%A9%AC%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,674,inferred_activity_cluster,activity_period,667,693,680,-6,中,未定年作品按作者活动期中点对称展开。
P027,杨炯,紫骝马,紫骝马,豪侠交游类,,唐,,,,未知,undated,unknown,初唐四杰年谱,张志烈《初唐四杰年谱》（巴蜀书社，1993）,https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=89,公开目录收录《紫骝马》，但未提供具体年份。,needs_review,目前不以杨炯生平任职年份替代本诗作年。,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E6%9D%A8%E7%82%AF%E3%80%8A%E7%B4%AB%E9%AA%9D%E9%A9%AC%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,686,inferred_activity_cluster,activity_period,667,693,680,6,中,未定年作品按作者活动期中点对称展开。
P028,李峤,弹,弹,豪侠交游类,,唐,,,,未知,undated,unknown,诗歌目录与作者索引,https://sou-yun.cn/PoemIndex.aspx?author=15132,https://sou-yun.cn/PoemBookNav.aspx?b=&d=87,题名仅一字，自动检索产生错误候选；作者诗目未给出可核验作年。,needs_review,后续应以首句和《李峤杂咏》组诗关系核对编年资料。,低,未匹配,ambiguous_match,候选作品最高匹配分数为 0.019。,0.019,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,李峤《弹》,678.666667,inferred_activity_cluster,activity_period,663,710,686.5,-7.833333,中,未定年作品按作者活动期中点对称展开。
P029,李峤,桂,桂,豪侠交游类,,唐,,,,未知,undated,unknown,诗歌目录与作者索引,https://sou-yun.cn/PoemIndex.aspx?author=15132,https://sou-yun.cn/PoemBookNav.aspx?b=&d=87,题名仅一字，自动检索产生错误候选；作者诗目未给出可核验作年。,needs_review,后续应以首句和咏物组诗关系核对编年资料。,低,未匹配,ambiguous_match,候选作品最高匹配分数为 0.072。,0.072,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,李峤《桂》,694.333333,inferred_activity_cluster,activity_period,663,710,686.5,7.833333,中,未定年作品按作者活动期中点对称展开。
P030,郭震,古剑篇,古剑篇,隐逸怀古类,,唐,,,,未知,undated,unknown,开放知识图谱,,,,auto_only,,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E9%83%AD%E9%9C%87%E3%80%8A%E5%8F%A4%E5%89%91%E7%AF%87%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,684.5,inferred_lifespan_cluster,lifespan,656,713,684.5,0,低,未定年作品按作者生卒年中点对称展开。
P031,韦元旦,奉和九日幸临渭亭登高应制得月字,奉和九日幸临渭亭登高应制得月字,隐逸怀古类,,唐,,,,未知,undated,unknown,开放知识图谱,,,,auto_only,,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E9%9F%A6%E5%85%83%E6%97%A6%E3%80%8A%E5%A5%89%E5%92%8C%E4%B9%9D%E6%97%A5%E5%B9%B8%E4%B8%B4%E6%B8%AD%E4%BA%AD%E7%99%BB%E9%AB%98%E5%BA%94%E5%88%B6%E5%BE%97%E6%9C%88%E5%AD%97%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,,unavailable,,,,,,,
P032,蔡孚,打毬篇,打毬篇,侠义抒怀类,,唐,,,,未知,undated,unknown,开放知识图谱,,,,auto_only,,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E8%94%A1%E5%AD%9A%E3%80%8A%E6%89%93%E6%AF%AC%E7%AF%87%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,,unavailable,,,,,,,
P033,骆宾王,帝京篇,帝京篇,豪侠交游类,,唐,676,676,676年五月,单年系年,exact,chronological_edition,开放知识图谱,,,,auto_only,,中,已匹配且有系年,matched,,0.719,唐宋文学编年地图（古籍文献知识图谱网）,"张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第190页、张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.28；190",https://open.cnkgraph.com/Writing/42176,"class='label1' id='35975a75feb24f90982fb4b6f38af2f5_label'> — 676年 ，42岁 ▪ 为明堂主簿.有《帝京篇》,献裴行俭。 （陈熙晋《骆临海集笺注》上海古籍出版社1985年版卷1第6页。） 《上吏部侍郎帝京篇启》 （陈熙晋《骆临海集笺注》上海古籍出版社1985年版卷1第1页。张谱作""京兆府明堂县"",今据谭图改""长安""） 出处：张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第190页、张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.28；190 <div",,骆宾王《帝京篇》,676,observed_exact,date_exact,676,676,676,0,中,采用作品级单年系年。
P034,骆宾王,畴昔篇,畴昔篇,侠义抒怀类,,唐,679,679,679年七月,单年系年,exact,chronological_edition,开放知识图谱,,,,auto_only,,中,已匹配且有系年,matched,,0.666,唐宋文学编年地图（古籍文献知识图谱网）,"张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第205页",https://open.cnkgraph.com/Writing/42181,"class='label1' id='2368641d3fdf48799d12a14a3d25be63_label'> — 679年 ，45岁 679年七月 遇赦出狱.作《畴昔篇》 （陈熙晋《骆临海集笺注》上海古籍出版社1985年版卷5第161页。） 出处：张志烈《初唐四杰年谱》,成都巴蜀书社1993年版.第205页 <div",,骆宾王《畴昔篇》,679,observed_exact,date_exact,679,679,679,0,中,采用作品级单年系年。
