author,title_cn,壮怀逸兴,孤愤悲慨,死生超然,同袍之谊,家国义愤,功名热望,功名幻灭,苍茫孤寂
李行言,成（城）南宴（斯五五五）,2,1,0,0,3,2,2,7
骆宾王,帝京篇,8,0,2,0,0,2,2,2
张说,江路忆郡,3,1,2,0,0,3,7,0
戎昱,出军,7,0,2,2,0,2,2,1
霍总,骢马,7,1,2,0,2,3,0,1
高适,古大梁行,2,0,0,0,1,0,2,7
李白,行行游且猎篇,2,2,1,2,0,0,2,2
王维,济上四贤咏 崔录事,6,0,0,2,0,2,0,0
刘禹锡,酬太原狄尚书见寄,2,0,0,2,2,2,0,2
范质,诫儿姪八百字,2,1,0,2,0,2,1,2
李商隐,偶成转韵七十二句赠四同舍,2,2,0,0,0,0,3,2
李山甫,游侠儿,2,2,0,0,0,0,2,3
道世,颂六十二首 二十六,2,0,0,0,0,0,2,1
杜甫,横吹曲辞 后出塞五首 四,1,1,1,1,0,0,0,1
李颀,杂曲歌辞 缓歌行,1,0,0,0,0,2,0,1
