author,birth_year,death_year,activity_start,activity_end,activity_method,source_type,source_1,source_2,evidence_summary,confidence,review_status,research_note
张易之,650,705,,,lifespan_only,Wikidata人物条目,https://www.wikidata.org/wiki/Q8070402,,结构化人物条目列出生卒年；当前仅作生涯中点兜底,低,needs_review,未将生卒年写入活动期字段
张柬之,625,706,,,lifespan_only,Wikidata人物条目,https://www.wikidata.org/wiki/Q708460,,结构化人物条目列出生卒年；当前仅作生涯中点兜底,低,needs_review,未将生卒年写入活动期字段
张说,667,730,689,730,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
戴休珽,,,,,unknown,人物资料待核,https://www.wikidata.org/wiki/Q45635589,,现有条目未提供可稳定确认的生卒年；避免与戴休颜混同,低,needs_review,保留待核状态而不以推测年份定位
戴叔伦,732,789,,,lifespan_only,Wikidata人物条目,https://www.wikidata.org/wiki/Q11075245,,结构化人物条目列出生卒年；当前仅作生涯中点兜底,低,needs_review,未将生卒年写入活动期字段
杜甫,712,770,736,770,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
李山甫,,,,,unknown,人物资料待核,,,未获得可稳定匹配的生卒年或连续创作期资料,低,needs_review,保留待核状态而不以推测年份定位
李白,701,762,715,762,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
李益,748,827,,,lifespan_only,Wikidata人物条目,https://www.wikidata.org/wiki/Q3237588,,结构化人物条目列出生卒年；当前仅作生涯中点兜底,低,needs_review,生卒年存在异说；后续需以专门年谱复核
李商隐,812,858,826,858,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
李峤,645,714,663,710,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
李贺,790,816,806,816,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
李颀,690,751,,,lifespan_only,Wikidata人物条目,https://www.wikidata.org/wiki/Q715369,,结构化人物条目列出生卒年；当前仅作生涯中点兜底,低,needs_review,未将生卒年写入活动期字段
杨凝,,,,,unknown,人物资料待核,https://www.wikidata.org/wiki/Q11100355,,仅见卒年线索而未获可稳定确认的完整生卒期,低,needs_review,保留待核状态而不以推测年份定位
杨炯,650,693,667,693,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
温庭筠,801,866,828,866,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
王昌龄,698,757,708,757,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
王维,700,761,714,761,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,原示例年谱待后续单独复核
耿𣲗,,,,,unknown,人物资料待核,https://www.wikidata.org/wiki/Q11610839,,现有条目未提供可稳定确认的生卒年或活动期,低,needs_review,保留待核状态而不以推测年份定位
蔡孚,,,,,unknown,人物资料待核,,,未获得可稳定匹配的生卒年或连续创作期资料,低,needs_review,保留待核状态而不以推测年份定位
薛逢,,,,,unknown,人物资料待核,https://www.wikidata.org/wiki/Q7273088,,现有条目未提供可稳定确认的生卒年或活动期,低,needs_review,保留待核状态而不以推测年份定位
虞世南,558,638,578,638,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
虞羽客,,,,,unknown,人物资料待核,https://www.wikidata.org/wiki/Q45618736,,现有条目未提供可稳定确认的生卒年或活动期,低,needs_review,保留待核状态而不以推测年份定位
许浑,788,861,806,858,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
贺朝,,,,,unknown,人物资料待核,https://www.wikidata.org/wiki/Q18907216,,现有条目未提供可稳定确认的生卒年或活动期,低,needs_review,保留待核状态而不以推测年份定位
道世,596,683,,,lifespan_only,Wikidata人物条目,https://www.wikidata.org/wiki/Q16180531,,结构化人物条目列出生卒年；当前仅作生涯中点兜底,低,needs_review,未将生卒年写入活动期字段
郑鏦,,,,,unknown,人物资料待核,https://zh.wikisource.org/zh-hant/舊唐書/卷120,,可见卒年线索但未获完整生卒期,低,needs_review,保留待核状态而不以推测年份定位
郭震,656,713,,,lifespan_only,Wikidata人物条目,https://www.wikidata.org/wiki/Q3082953,,结构化人物条目列出生卒年；当前仅作生涯中点兜底,低,needs_review,未将生卒年写入活动期字段
钱起,718,783,738,780,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
陈子良,,,,,unknown,人物资料待核,,,未获得可稳定匹配的生卒年或连续创作期资料,低,needs_review,保留待核状态而不以推测年份定位
雍陶,796,860,820,859,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
霍总,,,,,unknown,人物资料待核,,,未获得可稳定匹配的生卒年或连续创作期资料,低,needs_review,保留待核状态而不以推测年份定位
韦元旦,,,,,unknown,人物资料待核,,,现有条目未提供可稳定确认的生卒年或活动期,低,needs_review,保留待核状态而不以推测年份定位
韩偓,842,923,851,916,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
韩翃,719,788,,,lifespan_only,百科人物条目,https://zh.wikipedia.org/wiki/韓翃,,人物条目列出生卒年；当前仅作生涯中点兜底,低,needs_review,未将生卒年写入活动期字段
顾况,725,814,,,lifespan_only,Wikidata人物条目,https://www.wikidata.org/wiki/Q11665204,,结构化人物条目列出生卒年；当前仅作生涯中点兜底,低,needs_review,未将生卒年写入活动期字段
骆宾王,635,684,641,684,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
高适,700,765,719,763,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
戎昱,744,800,,,lifespan_only,Wikidata人物条目,https://www.wikidata.org/wiki/Q11074445,,结构化人物条目列出生卒年；当前仅作生涯中点兜底,低,needs_review,出生年存在异说；未将生卒年写入活动期字段
刘禹锡,772,842,792,842,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
卢照邻,634,682,652,681,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
权德舆,759,818,774,817,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
马戴,799,869,,,lifespan_only,人物资料汇编,https://shici.yw11.com/shici_206479_68a.html,,人物条目列出生卒年；当前仅作生涯中点兜底,低,needs_review,未将生卒年写入活动期字段
